id,is_deleted,created_at,object_type,cospar_id,norad_id,name,name_official,expected_lifetime,purposes,contractor,launch,mass,geometry,orbital_elements,propulsion,object_sub_type,operators,reentry_date,current_space_object_version_id,discos_id,updated_at,vimple_id,is_manoeuvrable,is_operational,radar_cross_section
01HF4JDZQX72NRCQCQ1W4B8PXY,False,2023-11-13 14:47:38.602096+00:00,satellite,2022-033A,52157,OMNI-L1,Omnispace LEO-1,5.0,[0],,"{'Date': '2022-04-01T16:24:24.958+00:00', 'Site': 'Air Force Eastern Test Range, Florida, USA', 'Vehicle': 'Falcon 9', 'CosparLaunchNo': None}","{'Dry': 14.467, 'Launch': 14.467, 'Current': 14.467, 'DefaultMass': {'Type': 3, 'Value': 14.467}}","{'Span': {'Value': 1, 'IsComputed': False}, 'Shape': 'Box + 2 Pan', 'Width': None, 'Height': None, 'Length': 0.2, 'Diameter': None, 'DragArea': 0.38533, 'DragCoefficient': 2, 'BoxAndSolarPanels': None, 'SolarRadiationArea': 0.38533, 'CrossSectionAverage': 0.2697, 'CrossSectionMaximum': 0.38533, 'CrossSectionMinimum': 0.051, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None, 'SolarRadiationCoefficient': 1.1}","{'Raan': None, 'Type': 10, 'Epoch': '2022-12-18T22:56:24.958+00:00', 'Apogee': 7019233, 'Period': 5832, 'Perigee': 6998766, 'RefFrame': None, 'Inclination': 97.935, 'MeanAnomaly': None, 'TrueAnomaly': None, 'Eccentricity': 0.00146, 'OrbitalRegime': 1, 'SemiMajorAxis': 7009000, 'ArgumentOfPerigee': None}","{'Chemical': None, 'Electrical': {'MaxThrust': 0.00045, 'MinThrust': None, 'SpecificImpulse': 2500, 'MaxThrustDuration': 5700, 'MinThrustDuration': None, 'MinimumImpulseBit': 0.00045}, 'PropulsionTypes': [2]}",payload,"[{'Name': 'NanoAvionics', 'Country': 'Lithuania'}]",2027-04-01 16:24:24.958000+00:00,01HF4JDZQZ4NG73955N1MD8S7K,,2023-11-13 14:47:38.789847+00:00,,,,
01HGBCXJFWBJT57SFCCCAH68V5,False,2023-11-28 16:41:40.190525+00:00,debris,1999-025CBY,31666,FENGYUN 1C DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None, 'SolarRadiationCoefficient': None}",,,,[],,01HGBCXJFY933HXYX3MM2CWSM9,,2023-11-28 16:41:40.292809+00:00,,,,
01HGT58EDNFFRMQAKVEZT7S1Q3,False,2023-12-04 10:16:24.685870+00:00,satellite,2022-057AK,52765,ARMSAT1 URDANETA,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None, 'SolarRadiationCoefficient': None}",,,,[],,01HGT58EDQCJ5J2NJBNZHH5JRB,,2023-12-04 10:16:24.776079+00:00,,,,
01G9MY86V01YZRDZAKM2SBSBW6,False,2022-08-04 17:25:33.153373+00:00,satellite,2020-094B,47235,GECAM-B,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29Q7TGEDGH3DACPQRR,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MY8BPB0R014QQ8204YJ88R,False,2022-08-04 17:25:38.124007+00:00,debris,1999-057MB,26754,CZ-4 DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29KTKMV009E16ZFMEQ,,2023-03-15 13:16:32.200793+00:00,,,,
01H41HX8VV5VB93R5WE25CRKNB,False,2023-06-28 17:48:06.909765+00:00,debris,2022-151AGF,56655,CZ-6A DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01H41HX8VV5VB93R5WE25CRKNC,,2023-06-28 17:48:06.929370+00:00,,,,
01GARKDE16F78AG4EA9J579HCQ,False,2022-08-18 13:48:49.575610+00:00,debris,1965-012BL,1156,Cosmos-57 fragmentation debris,,,[],,"{'Date': '1965-02-22T07:40:48+00:00', 'Site': 'Baikonur Cosmodrome (Tyuratam)', 'Vehicle': 'Soyuz SL-4 (A-2)', 'CosparLaunchNo': '1965-012'}",,"{'Span': {'Value': 1, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,payload_fragmentation_debris,"[{'Name': 'OKB-1 im. S.P. Korolev', 'Country': 'USSR, Union of Soviet Socialist Republics'}]",1965-03-18 00:00:00+00:00,01GVJPMH297XJM4R7KNHDY5JAS,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MXS2SX693ECYBW3AK83P6T,False,2022-08-04 17:17:17.502091+00:00,debris,1982-092APQ,50692,COSMOS 1408 DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29JXTM7EZJJBCHK5E9,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MXS3E97CPCT2GKG3QMCE15,False,2022-08-04 17:17:18.153888+00:00,debris,1990-081AF,20867,CZ-4 DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29PRQKZ2FC44KCG0S2,,2023-03-15 13:16:32.200793+00:00,,,,
01H41J41SV9P5685YE3SBQVJE9,False,2023-06-28 17:51:49.053298+00:00,satellite,2020-012BJ,45234,STARLINK-1243,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01H41J41SV9P5685YE3SBQVJEA,,2023-06-28 17:51:49.057233+00:00,,,,
